row_id,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1,,空间滞后类型,t/(t+1),,,,,
2,传统,无滞后,Ⅰ,0.72,0.28,0.0,0.0,75.0
3,,,Ⅱ,0.0142857142857143,0.7,0.285714285714286,0.0,70.0
4,,,Ⅲ,0.0,0.0,0.784615384615385,0.215384615384615,65.0
5,,,Ⅳ,0.0,0.0,0.0166666666666667,0.983333333333333,60.0
6,空间,Ⅰ,Ⅰ,0.807692307692308,0.192307692307692,0.0,0.0,52.0
7,,,Ⅱ,0.0,0.888888888888889,0.111111111111111,0.0,9.0
8,,,Ⅲ,0.0,0.0,1.0,0.0,1.0
9,,,Ⅳ,0.0,0.0,0.0,0.0,0.0
10,,Ⅱ,Ⅰ,0.6,0.4,0.0,0.0,20.0
11,,,Ⅱ,0.0256410256410256,0.717948717948718,0.256410256410256,0.0,39.0
12,,,Ⅲ,0.0,0.0,0.928571428571429,0.0714285714285714,14.0
13,,,Ⅳ,0.0,0.0,0.0,1.0,3.0
14,,Ⅲ,Ⅰ,0.0,1.0,0.0,0.0,3.0
15,,,Ⅱ,0.0,0.611111111111111,0.388888888888889,0.0,18.0
16,,,Ⅲ,0.0,0.0,0.777777777777778,0.222222222222222,36.0
17,,,Ⅳ,0.0,0.0,0.0,1.0,13.0
18,,Ⅳ,Ⅰ,0.0,0.0,0.0,0.0,0.0
19,,,Ⅱ,0.0,0.5,0.5,0.0,4.0
20,,,Ⅲ,0.0,0.0,0.642857142857143,0.357142857142857,14.0
21,,,Ⅳ,0.0,0.0,0.0227272727272727,0.977272727272727,44.0
