row_id,REGION,YEAR,RESILIENCE
1,上海,2007,0.492164
2,云南,2007,0.281703
3,内蒙古,2007,0.379536
4,北京,2007,0.594626
5,吉林,2007,0.351074
6,四川,2007,0.332237
7,天津,2007,0.460004
8,宁夏,2007,0.344211
9,安徽,2007,0.338756
10,山东,2007,0.433115
11,山西,2007,0.390598
12,广东,2007,0.413715
13,广西,2007,0.247748
14,新疆,2007,0.362631
15,江苏,2007,0.488651
16,江西,2007,0.303346
17,河北,2007,0.387241
18,河南,2007,0.333588
19,浙江,2007,0.482942
20,海南,2007,0.329509
21,湖北,2007,0.350573
22,湖南,2007,0.307334
23,甘肃,2007,0.302952
24,福建,2007,0.391066
25,西藏,2007,0.261496
26,贵州,2007,0.207764
27,辽宁,2007,0.374684
28,重庆,2007,0.373144
29,陕西,2007,0.372413
30,青海,2007,0.380146
31,黑龙江,2007,0.31122
32,上海,2008,0.495281
33,云南,2008,0.325324
34,内蒙古,2008,0.385044
35,北京,2008,0.608347
36,吉林,2008,0.369655
37,四川,2008,0.29181
38,天津,2008,0.475049
39,宁夏,2008,0.348018
40,安徽,2008,0.363299
41,山东,2008,0.444896
42,山西,2008,0.417941
43,广东,2008,0.456763
44,广西,2008,0.272804
45,新疆,2008,0.354718
46,江苏,2008,0.515005
47,江西,2008,0.343718
48,河北,2008,0.415089
49,河南,2008,0.330158
50,浙江,2008,0.492655
51,海南,2008,0.332967
52,湖北,2008,0.361015
53,湖南,2008,0.321949
54,甘肃,2008,0.314714
55,福建,2008,0.399243
56,西藏,2008,0.254929
57,贵州,2008,0.243802
58,辽宁,2008,0.403663
59,重庆,2008,0.400176
60,陕西,2008,0.374167
61,青海,2008,0.363917
62,黑龙江,2008,0.318826
63,上海,2009,0.499526
64,云南,2009,0.329405
65,内蒙古,2009,0.398484
66,北京,2009,0.641868
67,吉林,2009,0.366573
68,四川,2009,0.321027
69,天津,2009,0.469221
70,宁夏,2009,0.378931
71,安徽,2009,0.357104
72,山东,2009,0.465555
73,山西,2009,0.405067
74,广东,2009,0.493153
75,广西,2009,0.323496
76,新疆,2009,0.368908
77,江苏,2009,0.535519
78,江西,2009,0.358475
79,河北,2009,0.432254
80,河南,2009,0.335311
81,浙江,2009,0.501818
82,海南,2009,0.398496
83,湖北,2009,0.38964
84,湖南,2009,0.355425
85,甘肃,2009,0.314071
86,福建,2009,0.430698
87,西藏,2009,0.289273
88,贵州,2009,0.258266
89,辽宁,2009,0.403443
90,重庆,2009,0.380043
91,陕西,2009,0.387359
92,青海,2009,0.378346
93,黑龙江,2009,0.329343
94,上海,2010,0.510163
95,云南,2010,0.341853
96,内蒙古,2010,0.412029
97,北京,2010,0.644481
98,吉林,2010,0.409344
99,四川,2010,0.335661
100,天津,2010,0.506912
101,宁夏,2010,0.408939
102,安徽,2010,0.375761
103,山东,2010,0.489658
104,山西,2010,0.421848
105,广东,2010,0.550129
106,广西,2010,0.341683
107,新疆,2010,0.407548
108,江苏,2010,0.536124
109,江西,2010,0.376651
110,河北,2010,0.449094
111,河南,2010,0.344372
112,浙江,2010,0.528456
113,海南,2010,0.406759
114,湖北,2010,0.408757
115,湖南,2010,0.368046
116,甘肃,2010,0.340132
117,福建,2010,0.445621
118,西藏,2010,0.289991
119,贵州,2010,0.274046
120,辽宁,2010,0.435066
121,重庆,2010,0.41106
122,陕西,2010,0.395029
123,青海,2010,0.364591
124,黑龙江,2010,0.365953
125,上海,2011,0.542074
126,云南,2011,0.347744
