row_id,年度标识,城市名称,城市代码,城市类别,省份名称,gdp（亿元人民币）,第一产业增加值（亿元人民币）,第二产业增加值,第三产业增加值,第一产业占GDP比重,第二产业占GDP比重,第三产业占GDP比重,产业结构,产业整体升级,产业结构高级化
1,2000.0,北京市,110000.0,直辖市,北京市,3277.8,79.30000305175781,1023.7000122070312,2174.89990234375,0.024193057790398598,0.31231313943862915,0.663524270057678,0.663524270057678,2.63939213752747,2.1245481967926
2,2001.0,北京市,110000.0,直辖市,北京市,3861.5,80.80000305175781,1127.199951171875,2653.60009765625,0.020924512296915054,0.29190728068351746,0.6871941089630127,0.6871941089630127,2.6663215160369873,2.354151964187622
3,2002.0,北京市,110000.0,直辖市,北京市,4525.7,82.4000015258789,1235.0999755859375,3208.199951171875,0.0182071290910244,0.2729080617427826,0.7088847756385803,0.7088847756385803,2.6906776428222656,2.597522497177124
4,2003.0,北京市,110000.0,直辖市,北京市,5267.2,84.0999984741211,1456.4000244140625,3726.699951171875,0.015966737642884254,0.27650365233421326,0.707529604434967,0.707529604434967,2.6915628910064697,2.5588436126708984
5,2004.0,北京市,110000.0,直辖市,北京市,6252.5,85.4000015258789,1773.699951171875,4393.39990234375,0.013658536598086357,0.2836785316467285,0.7026629447937012,0.7026629447937012,2.689004421234131,2.476969003677368
6,2005.0,北京市,110000.0,直辖市,北京市,7149.8,86.9000015258789,1907.4000244140625,5155.5,0.012154186144471169,0.2667767107486725,0.7210690975189209,0.7210690975189209,2.7089149951934814,2.7028939723968506
7,2006.0,北京市,110000.0,直辖市,北京市,8387.0,87.19999694824219,2072.10009765625,6227.7001953125,0.010397043079137802,0.24706093966960907,0.742542028427124,0.742542028427124,2.732145071029663,3.0055015087127686
8,2007.0,北京市,110000.0,直辖市,北京市,10425.5,99.4000015258789,2413.39990234375,7912.7998046875,0.009534315206110477,0.2314900904893875,0.758985161781311,0.758985161781311,2.7494699954986572,3.278693914413452
9,2008.0,北京市,110000.0,直辖市,北京市,11813.1,111.4000015258789,2526.699951171875,9175.099609375,0.009430209174752235,0.21388965845108032,0.7766885757446289,0.7766885757446289,2.767275333404541,3.631258010864258
10,2009.0,北京市,110000.0,直辖市,北京市,12900.9,116.8000030517578,2736.39990234375,10047.7001953125,0.009053632616996765,0.21210922300815582,0.7788371443748474,0.7788371443748474,2.7697834968566895,3.671868324279785
11,2010.0,北京市,110000.0,直辖市,北京市,14964.0,122.8000030517578,3233.10009765625,11608.099609375,0.008206361904740334,0.21605855226516724,0.775735080242157,0.775735080242157,2.767528772354126,3.590392827987671
12,2011.0,北京市,110000.0,直辖市,北京市,17188.8,134.5,3563.300048828125,13491.0,0.007824862375855446,0.20730359852313995,0.784871518611908,0.784871518611908,2.7770466804504395,3.7860970497131348
13,2012.0,北京市,110000.0,直辖市,北京市,19024.7,148.39999389648438,3856.0,15020.2998046875,0.007800385355949402,0.20268388092517853,0.7895157337188721,0.7895157337188721,2.7817153930664062,3.895305871963501
14,2013.0,北京市,110000.0,直辖市,北京市,21134.6,159.8000030517578,4168.2998046875,16806.5,0.007561061065644026,0.19722634553909302,0.7952125668525696,0.7952125668525696,2.787651538848877,4.031979560852051
15,2014.0,北京市,110000.0,直辖市,北京市,22926.0,159.1999969482422,4433.0,18333.900390625,0.0069440808147192,0.19336125254631042,0.799699068069458,0.799699068069458,2.7927637100219727,4.135776996612549
16,2015.0,北京市,110000.0,直辖市,北京市,24779.1,140.39999389648438,4419.7998046875,20218.900390625,0.005666065029799938,0.17836804687976837,0.8159658908843994,0.8159658908843994,2.810299873352051,4.574618816375732
17,2016.0,北京市,110000.0,直辖市,北京市,27041.2,129.8000030517578,4665.7998046875,22245.69921875,0.004800083115696907,0.17254410684108734,0.8226594924926758,0.8226594924926758,2.817866802215576,4.767821311950684
