row_id,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
1,,空间滞后类型,t/(t+1),,,,
2,传统,无滞后,Ⅰ,0.733333333333333,0.266666666666667,0.0,90.0
3,,,Ⅱ,0.0246913580246914,0.740740740740741,0.234567901234568,81.0
4,,,Ⅲ,0.0,0.0101010101010101,0.98989898989899,99.0
5,空间,Ⅰ,Ⅰ,0.8125,0.1875,0.0,64.0
6,,,Ⅱ,0.0,1.0,0.0,16.0
7,,,Ⅲ,0.0,0.0,0.0,0.0
8,,Ⅱ,Ⅰ,0.583333333333333,0.416666666666667,0.0,24.0
9,,,Ⅱ,0.0425531914893617,0.723404255319149,0.234042553191489,47.0
10,,,Ⅲ,0.0,0.0,1.0,16.0
11,,Ⅲ,Ⅰ,0.0,1.0,0.0,2.0
12,,,Ⅱ,0.0,0.555555555555556,0.444444444444444,18.0
13,,,Ⅲ,0.0,0.0120481927710843,0.987951807228916,83.0
