row_id,region,year,index,field_004,field_005,field_006,index_2
1,北京市,1990,0.233568,0.1991517552,0.06870636288,0.248662332,0.4671016577613372
2,北京市,1991,0.23997599999999997,0.15510848759999998,0.053644235039999995,0.2684971476,0.7287812114544789
3,北京市,1992,0.29099519999999995,0.16566356735999999,0.07108139750399999,0.31767218495999994,0.42069422450954524
4,北京市,1993,0.2952768,0.1718510976,0.08342160153599999,0.34400485392,0.42190920519322883
5,北京市,1994,0.31856159999999994,0.21625554215999995,0.07443510345599999,0.33596302739999995,0.48185343117312324
6,北京市,1995,0.34066799999999997,0.2977097652,0.09113209668,0.36046932749999994,0.3811041835452699
7,北京市,1996,0.4204032,0.39553635072,0.108733083648,0.4992288,0.3273999817318232
8,北京市,1997,0.4476168,0.37223813087999996,0.09361010138399999,0.55411602714,0.27130348994943887
9,北京市,1998,0.4069008,0.24369288912,0.11931145257600001,0.44207737416,0.4334225934183467
10,北京市,1999,0.4481112,0.37594289123999997,0.110060591832,0.46010937738,0.35180999716141886
11,北京市,2000,0.46516799999999997,0.2566331856,0.11813406527999999,0.567679398,0.3831948887283735
12,北京市,2001,0.45677519999999994,0.4188628583999999,0.11571486141599999,0.51544797444,0.31831850765978537
13,北京市,2002,0.5646432,0.49375224624,0.154441208064,0.6518099940000001,0.2151270040974548
14,北京市,2003,0.6031704,0.50717583084,0.159743648736,0.7529074518000001,0.3206390764533538
15,北京市,2004,0.5589504,0.4871532211199999,0.142733574144,0.65195974656,0.22080671200879365
16,北京市,2005,0.6549599999999999,0.34752177599999995,0.18146321759999995,0.7722142139999998,0.2680927079516307
17,北京市,2006,0.6281807999999999,0.4837620340799999,0.12816772862399997,0.6982229591999999,0.24359229062715707
18,北京市,2007,0.7118928,0.47889028656,0.192453099552,0.8088703966799999,0.2077419521590891
19,北京市,2008,0.6326208,0.54519260544,0.151493702976,0.7778863511999999,0.2631276113589689
20,北京市,2009,0.7498007999999999,0.5960916359999999,0.15891278155199998,0.84084536214,0.23047454737311565
21,北京市,2010,0.6829200000000001,0.562521204,0.14724438120000002,0.807023637,0.28280032800328003
22,北京市,2011,0.8039664,0.49596687216,0.16208766590399998,0.92028023892,0.14403587015576771
23,北京市,2012,0.7789056,0.39214002432,0.15605373696,0.89753292288,0.18760938424373894
24,北京市,2013,0.7612703999999999,0.4176710049599999,0.20841299740799998,0.8557440566399999,0.24704756680412115
25,北京市,2014,0.8881344,0.67018621824,0.23390795692799998,0.91220284224,0.11921619070266842
26,北京市,2015,0.9224039999999999,0.7846890827999998,0.27554974691999995,1.0049130377999997,0.1389846531454764
27,北京市,2016,0.8660736,0.51678611712,0.175431868416,0.9850721126399999,0.1933207524164228
28,北京市,2017,0.9733368,0.964820103,0.270422163144,0.9994952265,0.12646187835495382
29,北京市,2018,0.8753375999999999,0.7365965903999999,0.237671665152,1.0709099032799998,0.1289559593921248
30,北京市,2019,0.9321624,0.55235283012,0.23824206619199997,0.9978332410799999,0.17333889459604895
31,北京市,2020,1.000032,0.9873315936000001,0.27989895648,1.1193108168,0.16700465585101276
32,北京市,2021,1.0513055999999998,0.9954812726399997,0.22296089164799995,1.0574557377599998,0.14548576550909653
33,北京市,2022,0.9945936,0.90125099064,0.292132032192,1.0766973016799999,0.11182456834630748
34,天津市,1990,0.123456,0.07397483519999999,0.03422323776,0.12424920480000001,1.192651632970451
35,天津市,1991,0.1431936,0.09626905728,0.029035366272000002,0.16401752928000002,1.1315449852507373
36,天津市,1992,0.117936,0.1018023552,0.025562628,0.1196932464,1.360483652150319
37,天津市,1993,0.1742208,0.13973379264,0.042610923264000004,0.18990067200000002,0.9374311218867093
38,天津市,1994,0.1844304,0.09462201672,0.039449662559999994,0.18939157775999999,0.7188619663569562
39,天津市,1995,0.145116,0.11222545860000001,0.04073841468,0.1686139083,1.0147743873866424
40,天津市,1996,0.2063232,0.11098124928,0.044982584064000006,0.250682688,0.5191854333395372
41,天津市,1997,0.2264808,0.21288062795999999,0.059122812840000004,0.23637234894000003,0.5550580888092942
42,天津市,1998,0.2004912,0.13274522352,0.044601272352,0.21679614684000004,0.5292002841022448
43,天津市,1999,0.18595679999999998,0.18027581975999996,0.045732355823999996,0.21123297804,0.9952849263915061
44,天津市,2000,0.26088,0.18724662,0.0632086152,0.29179427999999996,0.7471634467954615
45,天津市,2001,0.2584512,0.212899176,0.067241248704,0.28764972432,0.40831692791521185
46,天津市,2002,0.26796,0.15174574799999999,0.0723786756,0.284720898,0.5636288998357964
47,天津市,2003,0.25121519999999997,0.20203982459999997,0.062735971896,0.27209118311999997,0.43898617599572004
48,天津市,2004,0.276768,0.1876625424,0.0630892656,0.2988956016,0.664383165683894
