row_id,field_001,field_002,field_003,field_004,field_005,field_006,field_007,field_008,field_009,field_010,field_011,field_012,field_013,field_014,field_015,field_016,field_017,field_018,field_019,field_020,field_021,field_022,field_023,field_024,field_025,field_026,field_027,field_028,field_029,field_030,field_031,field_032,field_033,field_034,field_035,field_036,field_037,field_038,field_039,field_040,field_041,field_042,field_043,field_044,field_045,field_046,field_047,field_048,field_049,field_050,field_051,field_052,field_053,field_054,field_055,field_056,field_057,field_058,field_059,field_060,field_061,field_062,field_063,field_064
1,,1/距离(千米),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,北京,0.0,0.0104087698218274,0.0041760169432579,0.0024551048865541,0.0023554518425935,0.0015854637809493,0.001153107840847,0.000946202046908,0.0009596956036643,0.0011618291820711,0.0009067382813965,0.001113772862301,0.0006546471522463,0.0008046050696058,0.0028015834928366,0.0016123068293154,0.0009603115673186,0.0007598473130591,0.0005386016978678,0.0004884521710005,0.0004445300238748,0.0007045611418411,0.0006640343743407,0.0005781536703618,0.0004834825628885,0.0003911848433614,0.0011014910540959,0.0008440657411564,0.000745804752497,0.0011309522694768,0.000411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,天津,0.0104087698218274,0.0,0.0037085901538669,0.0022234049035726,0.0019420977709097,0.001700017477843,0.0011885895304379,0.0009586312742067,0.0010464369027423,0.0012698169137804,0.0009772955394114,0.001197724203409,0.0006865340973663,0.0008395804337489,0.0034264029452182,0.0016492650730947,0.0009979616785963,0.0007790645245216,0.0005512519403431,0.0004933136114151,0.000451077671989,0.0006997071711143,0.0006530399395325,0.0005788646583051,0.000480973108423,0.0003829771539538,0.0010695753973131,0.0008031583878108,0.0007109046649641,0.0010460474311195,0.0003959520251075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,河北,0.0041760169432579,0.0037085901538669,0.0,0.0055134661819534,0.0027014462105431,0.0011671442510974,0.0009064466661381,0.0007715846948121,0.001002173468062,0.0013039849134627,0.0009757328282974,0.0012993971315024,0.0007096056797072,0.0009283499212971,0.0033368630103135,0.0024725000862941,0.0011710801079342,0.0008980739194077,0.0005999519083673,0.0005477109703748,0.0004895941745217,0.0008471325303017,0.0007886486158245,0.0006689848680129,0.0005467111170406,0.0004266449679254,0.0014923563576636,0.0010170040570484,0.0008692963618825,0.0014026143122248,0.0004273363931008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,山西,0.0024551048865541,0.0022234049035726,0.0055134661819534,0.0,0.0029690107903902,0.0009668108780869,0.0007846668447556,0.0006848926581209,0.0009191175087743,0.0012041686093296,0.0009170687871686,0.0012445214954919,0.0006979353345668,0.0009427085165459,0.0023028448605976,0.0028078556970255,0.0012222278586401,0.0009533610795294,0.0006205180722234,0.0005804523065342,0.0005098883701176,0.0009665012890303,0.0009070709176915,0.0007330092961313,0.0005958107866484,0.0004624257988994,0.001977475453937,0.0012445520026568,0.0010275797793672,0.0018251676417076,0.0004536818405417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,内蒙古,0.0023554518425935,0.0019420977709097,0.0027014462105431,0.0029690107903902,0.0,0.0009995558553565,0.0008417591984347,0.0007493218034528,0.0007309994064744,0.0008827527566585,0.0007182918419671,0.0008899979275178,0.0005682511970705,0.0007158374509043,0.0015016121287119,0.001443474824292,0.0008658285763759,0.0007245561975936,0.0005144642533692,0.0004934498415017,0.0004384954569406,0.0007749468063959,0.000766331764253,0.0006100930449875,0.0005232489299371,0.0004510660671869,0.0013405781480492,0.0011783759500509,0.0010224729203572,0.0019444439972069,0.0004973400801399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,辽宁,0.0015854637809493,0.001700017477843,0.0011671442510974,0.0009668108780869,0.0009995558553565,0.0,0.0035823830312037,0.0019711173381974,0.0008588772931868,0.0008811229478882,0.0007742544920312,0.0008102339634978,0.0005688574507072,0.0006191809234112,0.0012783044021148,0.0008592120045068,0.0006742998556178,0.0005634400106169,0.0004435458841883,0.0003936859916525,0.0003720039321722,0.0004989460966226,0.0004721854354225,0.0004378797792097,0.0003769724273331,0.0003138738593163,0.0006567268531005,0.000551737605283,0.0005094824170357,0.0006664947986193,0.0003409943895174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,吉林,0.001153107840847,0.0011885895304379,0.0009064466661381,0.0007846668447556,0.0008417591984347,0.0035823830312037,0.0,0.004328811214857,0.0007030267020446,0.000709087697927,0.0006426199693322,0.0006613511168521,0.0004946622599165,0.0005283042838124,0.0009459015085598,0.0006977277600649,0.0005675357952082,0.0004869124752788,0.0003949152189805,0.0003547884046077,0.0003370446124063,0.0004407883837693,0.0004217717125092,0.0003912651317444,0.0003426632800444,0.0002940929948796,0.0005639349659941,0.0004936208575725,0.0004618877413058,0.0005880658870759,0.0003302316808683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,黑龙江,0.000946202046908,0.0009586312742067,0.0007715846948121,0.0006848926581209,0.0007493218034528,0.0019711173381974,0.004328811214857,0.0,0.0006055216726238,0.0006094314447009,0.0005597741616215,0.000574212170192,0.0004441389407587,0.0004711770001138,0.0007837838439085,0.0006081942838366,0.0005032714946177,0.0004388953504906,0.0003620771899669,0.0003287958592793,0.0003129869538508,0.0004045481797525,0.0003903134986028,0.0003612959563547,0.0003203283081104,0.0002816097626837,0.0005091256548749,0.0004582822821504,0.00043278581846,0.0005409866028753,0.0003250002943263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,上海,0.0009596956036643,0.0010464369027423,0.001002173468062,0.0009191175087743,0.0007309994064744,0.0008588772931868,0.0007030267020446,0.0006055216726238,0.0,0.0034957621241583,0.0063386724927367,0.0025379557755533,0.001658533140641,0.001580162545034,0.0014139559311276,0.0012117313060397,0.0014561729149338,0.0011035954647985,0.0008290017150569,0.0006182546617465,0.0006013824350572,0.0007012028561251,0.0006059319578866,0.0006474349798617,0.000507513089884,0.0003448414433299,0.0008077618745957,0.0005768286210213,0.0005208837512595,0.0006277603597728,0.000305532311018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
